company_name,funding_citations
arbutus biopharma corp,https://en.wikipedia.org/wiki/Arbutus_Biopharma
imcheck therapeutics sas,https://www.boehringer-ingelheim-venture.com/portfolio/imcheck
myeloproliferative disorders-research consortium,https://reports.mountsinai.org/article/tisch2024-03-mpn-consortium
phoenix tissue repair inc,Not Found
alterity therapeutics ltd,https://finance.yahoo.com/quote/ATHE/
angany inc,https://nextmune.com/vet/blog-news/nextmune-angany
carna biosciences inc,https://www.gilead.com/news/news-details/2019/gilead-and-carna-biosciences-announce-research-and-development-collaboration-to-develop-novel-immuno-oncology-therapies
"tranzyme pharma, inc. (formerly neokimia inc.) (inactive)",https://www.fiercebiotech.com/biotech/press-release-tranzyme-pharma-closes-new-20-million-financing
innovative molecules gmbh,https://www.innovativemolecules.com/
formosa pharmaceuticals inc,https://is.linkedin.com/company/formosa-pharmaceuticals
fab’entech sa,https://european-biotechnology.com/latest-news/e20m-loan-for-pandemic-preparedness/
heparegenix gmbh,https://www.globenewswire.com/news-release/2025/04/15/3061487/0/en/HepaRegeniX-completes-21-5-million-financing-to-support-clinical-advancement-of-HRX-215-for-liver-regeneration.html
avelos therapeutics inc,https://www.prnewswire.com/news-releases/avelos-therapeutics-announces-krw-17-billion-series-b-funding-round-surpassing-krw-30-billion-total-raised-302157710.html
aeglea biotherapeutics inc,https://www.linkedin.com/company/aeglea-biotherapeutics
iovance biotherapeutics inc,https://www.linkedin.com/company/iovance
gossamer bio inc,https://www.linkedin.com/company/gossamer-bio
shanghai bao pharmaceuticals co ltd,https://synapse.patsnap.com/organization/fa4ea06b77a79bf57b972d289c2c21cd
curevac nv,https://en.wikipedia.org/wiki/CureVac
goldfinch bio inc (inactive),https://www.startupnetworks.co.uk/topic/434-why-goldfinch-bios-214m-mission-to-revolutionize-kidney-disease-fell-short/
eyepoint pharmaceuticals inc,https://www.linkedin.com/company/eyepointpharmaceuticals
valneva austria gmbh,https://www.linkedin.com/company/valneva
asher biotherapeutics inc,https://tracxn.com/d/companies/asher-biotherapeutics/__tUfwQphgotV2QUNLcSLWsnQ8rklOetceDiIDV2bq7-I
immunomedics inc,https://www.gilead.com/news/news-details/2020/gilead-sciences-to-acquire-immunomedics
